5,4014a1,6957,1,16,0,0,0.00000,0.00000
5,4014a1,6957,1,16,1,0,0.05806,0.00000
5,4014a1,6957,1,16,2,25,0.04031,6.7
5,4014a1,6957,1,16,3,19,0.03319,11.9
5,4014a1,6957,1,16,4,26,0.02850,16.1
5,4014a1,6957,1,16,5,28,0.02528,19.5
5,4014a1,6957,1,16,6,17,0.02280,22.6
5,4014a1,6957,1,16,7,19,0.02472,24.3
5,4014a1,6957,1,16,8,74,0.02699,30.6
5,4014a1,6957,1,16,9,43,0.02495,34.5
5,4014a1,6957,1,16,10,35,0.02328,39.0
5,4014a1,6957,1,16,11,21,0.02187,40.9
5,4014a1,6957,1,16,12,22,0.02066,41.6
5,4014a1,6957,1,16,13,14,0.01962,42.2
5,4014a1,6957,1,16,14,8,0.02058,43.2
5,4014a1,6957,1,16,15,8,2243.27,40.5
5,4014a1,10581,1,15,0,0,0.00000,0.00000
5,4014a1,10581,1,15,1,0,0.01121,0.00000
5,4014a1,10581,1,15,2,23,0.01148,47.4
5,4014a1,10581,1,15,3,28,0.01131,49.3
5,4014a1,10581,1,15,4,23,0.01115,42.7
5,4014a1,10581,1,15,5,21,0.01074,43.7
5,4014a1,10581,1,15,6,12,0.01228,47.6
5,4014a1,10581,1,15,7,67,0.01526,50.2
5,4014a1,10581,1,15,8,22,0.01497,64.7
5,4014a1,10581,1,15,9,28,0.01443,62.0
5,4014a1,10581,1,15,10,21,0.01420,57.4
5,4014a1,10581,1,15,11,20,0.01398,57.7
5,4014a1,10581,1,15,12,12,0.01378,55.7
5,4014a1,10581,1,15,13,13,0.01497,54.5
5,4014a1,10581,1,15,14,13,2241.97,50.9
