2,4003d5,13610,1,7,0,0,0.00000,0.00000
2,4003d5,13610,1,7,1,0,0.00317,0.00000
2,4003d5,13610,1,7,2,5,0.00361,1.4
2,4003d5,13610,1,7,3,11,0.00345,4.0
2,4003d5,13610,1,7,4,13,0.00352,6.2
2,4003d5,13610,1,7,5,12,0.08550,8.1
2,4003d5,13610,1,7,6,12,0.07841,7.0
2,4003d5,13610,2,7,0,0,0.00000,0.00000
2,4003d5,13610,2,7,1,0,0.00656,0.00000
2,4003d5,13610,2,7,2,5,0.00735,6.1
2,4003d5,13610,2,7,3,11,0.00677,9.4
2,4003d5,13610,2,7,4,13,0.00649,11.3
2,4003d5,13610,2,7,5,12,0.14818,12.1
2,4003d5,13610,2,7,6,12,0.12920,10.3
2,4003d5,22994,1,7,0,0,0.00000,0.00000
2,4003d5,22994,1,7,1,0,0.00350,0.00000
2,4003d5,22994,1,7,2,3,0.00380,6.4
2,4003d5,22994,1,7,3,15,0.00343,9.9
2,4003d5,22994,1,7,4,6,0.00341,12.2
2,4003d5,22994,1,7,5,15,0.06062,13.6
2,4003d5,22994,1,7,6,15,0.05601,11.7
2,4003d5,22994,2,7,0,0,0.00000,0.00000
2,4003d5,22994,2,7,1,0,0.00395,0.00000
2,4003d5,22994,2,7,2,3,0.00433,7.5
2,4003d5,22994,2,7,3,15,0.00397,11.5
2,4003d5,22994,2,7,4,6,0.00385,13.4
2,4003d5,22994,2,7,5,15,0.06907,13.7
2,4003d5,22994,2,7,6,15,0.06316,11.8
