3,400177,12293,1,11,0,0,0.00000,0.00000
3,400177,12293,1,11,1,0,0.01900,0.00000
3,400177,12293,1,11,2,3,0.01464,1.0
3,400177,12293,1,11,3,1,0.01192,1.7
3,400177,12293,1,11,4,4,0.00982,2.2
3,400177,12293,1,11,5,1,0.00873,2.6
3,400177,12293,1,11,6,3,0.00882,2.8
3,400177,12293,1,11,7,2,0.00823,2.9
3,400177,12293,1,11,8,5,0.00798,3.1
3,400177,12293,1,11,9,2,0.01666,3.3
3,400177,12293,1,11,10,2,0.03066,3.0
3,400177,12293,2,11,0,0,0.00000,0.00000
3,400177,12293,2,11,1,0,0.02809,0.00000
3,400177,12293,2,11,2,3,0.02304,1.5
3,400177,12293,2,11,3,1,0.01929,2.3
3,400177,12293,2,11,4,4,0.01518,2.7
3,400177,12293,2,11,5,1,0.01288,3.0
3,400177,12293,2,11,6,3,0.01219,3.1
3,400177,12293,2,11,7,2,0.01161,3.2
3,400177,12293,2,11,8,5,0.01112,3.4
3,400177,12293,2,11,9,2,0.02268,3.4
3,400177,12293,2,11,10,2,0.03944,3.1
