program_number,Ir,Dr,I1mr,d1mr,D1mw,ILmr,DLmr,DLmw,I1missrate,D1missread,D1misswrite,LLmissrate
1,803806437.0,279750169.0,193586032.0,902.0,2434.0,597.0,891.0,1923.0,536.0,1.122160707454001e-06,114934.33401807724,324264.71021775546,1.1740298507462688
2,16500482298.0,3000138169.0,30336.0,1010.0,2452.0,605.0,995.0,1931.0,534.0,6.121033202298704e-08,1223547.377243067,50.14214876033058,1.1754335260115607
3,18860566838.0,4353209726.0,81902.0,1044.0,42013731.0,7101.0,1028.0,1943.0,1157.0,5.535358555059776e-08,103.61397624981224,11.533868469229686,10179.718023255815
